Episodes,Remaining Fuel,Exposure,Total Burned
1000,1038.5,2655,500
1000,1220,1124,475
1000,1306.5,1672,490
1000,6213,2437,35
1000,6085.5,5066,485
1000,5930,2814,55
1000,1099.5,2369,495
1000,1163.5,1566,500
1000,1005,4189,495
1000,5305.5,4102,85
1500,4762,4907,145
1500,6881,708,0
1500,1320,2677,470
1500,6190,2252,25
1500,916,4129,495
1500,6883,722,0
1500,6939,584,0
1500,631.5,6862,495
1500,1144,4177,480
1500,1012,2968,500
2000,6924,688,0
2000,6741,921,0
2000,634,6973,485
2000,6939,602,0
2000,6891,657,0
2000,907,5902,480
2000,937,5962,495
2000,6888,670,0
2000,6843,772,0
2000,5040,4730,120
2500,6182,2556,30
2500,974,3836,500
2500,6779,963,0
2500,6940,650,0
2500,6931,702,0
2500,6910,621,0
2500,6071,2608,30
2500,1082,2459,500
2500,6949,657,0
2500,6673,1184,0